design,auprc,sd,auroc,dice
NO self-loop   + sym agg  + BCE,0.545624101709186,0.00532607575399692,0.8946050705350013,0.5022392290249432
NO self-loop   + MEAN agg + BCE,0.5425544498942456,0.003384048567343406,0.8952011800195191,0.51156462585034
self-loop c*I  + sym agg  + BCE   (current),0.5408930278415012,0.009572413248614964,0.8930163694437051,0.4921201814058957
self-loop c*I  + sym agg  + FOCAL g=1,0.538053548255017,0.004240979583148626,0.8929470543873658,0.5020408163265305
self-loop c*I  + MEAN agg + BCE,0.5354677540487168,0.00443140362866371,0.8925630489752462,0.5006519274376416
self-loop c*I  + sym agg  + FOCAL g=2,0.5309103351287895,0.008860561874640401,0.8914720299884661,0.501218820861678
