capacity,identity,real,shuffled,real_minus_identity,real_minus_shuffled
"frozen (h=64, L=2)",0.46002090109802984,0.5381224628265416,0.46986054326680166,0.07810156172851179,0.06826191955973998
"large (h=128, L=3)",0.45258691045629296,0.5418245470138163,0.4698420096313801,0.08923763655752337,0.0719825373824362
"small (h=16, L=1)",0.4519488509662042,0.5231421167204516,0.46102164835454584,0.07119326575424745,0.06212046836590579
