config,auprc,sd,auroc,dice
{'n_layers': 2},0.5408930278415012,0.009572413248614964,0.8930163694437051,0.4921201814058957
{'n_layers': 3},0.5400363368239541,0.012317242220044737,0.8912862656374766,0.489937641723356
{'pos_weight': 5.0},0.5392447478885379,0.010602366408789102,0.8956725224026263,0.522562358276644
{'hidden': 32},0.5352905310431241,0.013489702122613582,0.895931760713335,0.4971371882086168
{'residual': False},0.5333805602137224,0.008077852372387102,0.8961618867003814,0.49699546485260776
{'lr': 0.001},0.5330047293661817,0.012412676041934929,0.8940574815899209,0.5217687074829932
{'dropout': 0.5},0.5315585457844118,0.009917700164246417,0.8976091850767456,0.5037131519274376
{'dropout': 0.1},0.5229079783336752,0.00730258105380801,0.8888408304498269,0.5052154195011337
{'n_layers': 1},0.510544431513719,0.007051355120934002,0.8876319758672699,0.4720521541950113
