modality,feature,mean_abnormal,mean_normal,auc,abs_auc
A,ct_z,-1.2916459821534978,-0.28616892681954936,0.23726316058664826,0.7627368394133518
B,hfo_rate,11.311907910651238,5.897941798965417,0.7416055883261212,0.7416055883261212
B,spike_rate,11.035642552511732,5.8326302869423685,0.7382758903756171,0.7382758903756171
B,rel_gamma,1.107649980649778,0.24211059540791566,0.7292570137480016,0.7292570137480016
A,gmv_z,-0.9555779945497911,-0.16825956337887252,0.2799651835802447,0.7200348164197553
B,rel_theta,0.6965571737028086,0.17672560620256056,0.652804521947158,0.652804521947158
A,sa_z,-0.3941893908197379,-0.03224890347564417,0.3811354587572387,0.6188645412427614
B,rel_delta,-0.42574042096246334,-0.08449226922388339,0.38745519292937586,0.6125448070706241
A,curv_z,0.33187098890100303,0.08979913861307638,0.5743366493316663,0.5743366493316663
A,t1t2_z,-0.1463366431735105,-0.013897242938630639,0.4578742962149388,0.5421257037850612
A,lgi_z,0.15370858497636403,0.0765603017078726,0.5172634780076439,0.5172634780076439
B,rel_alpha,0.08027666804519634,0.03186925581652046,0.5105203288262404,0.5105203288262404
B,rel_beta,0.038609054901300115,0.04022566596975361,0.49929598661553676,0.5007040133844632
