phase,exp,family,n_feat,graph,seed,val_auprc,val_auroc,val_dice
D_graph_hp,{'dropout': 0.5},graphnet,,real,0-2,0.5315585457844118,0.8976091850767456,0.5037131519274376
D_graph_hp,{'lr': 0.001},graphnet,,real,0-2,0.5330047293661817,0.8940574815899209,0.5217687074829932
D_graph_hp,{'pos_weight': 5.0},graphnet,,real,0-2,0.5392447478885379,0.8956725224026263,0.522562358276644
D_graph_hp,{'residual': False},graphnet,,real,0-2,0.5333805602137224,0.8961618867003814,0.49699546485260776
D_design_choices,self-loop c*I  + sym agg  + BCE   (current),graphnet,,real,0-2,0.5408930278415012,0.8930163694437051,0.4921201814058957
D_design_choices,NO self-loop   + sym agg  + BCE,graphnet,,real,0-2,0.545624101709186,0.8946050705350013,0.5022392290249432
D_design_choices,self-loop c*I  + MEAN agg + BCE,graphnet,,real,0-2,0.5354677540487168,0.8925630489752462,0.5006519274376416
D_design_choices,NO self-loop   + MEAN agg + BCE,graphnet,,real,0-2,0.5425544498942456,0.8952011800195191,0.51156462585034
D_design_choices,self-loop c*I  + sym agg  + FOCAL g=2,graphnet,,real,0-2,0.5309103351287895,0.8914720299884661,0.501218820861678
D_design_choices,self-loop c*I  + sym agg  + FOCAL g=1,graphnet,,real,0-2,0.538053548255017,0.8929470543873658,0.5020408163265305
E_ablation,graph_real,graphnet,,real,0,0.5351315285264704,0.8895104138940645,0.5049319727891156
E_ablation,graph_real,graphnet,,real,1,0.5543827589456759,0.898273223316476,0.4977891156462585
E_ablation,graph_real,graphnet,,real,2,0.533164796052357,0.8912654711205749,0.47363945578231287
E_ablation,graph_real,graphnet,,real,3,0.529810767781663,0.8904794383816874,0.507312925170068
E_ablation,graph_real,graphnet,,real,4,0.548088712084389,0.8892276084642001,0.5150510204081632
E_ablation,graph_real,graphnet,,real,5,0.5405514562191086,0.8924216462603142,0.5189625850340136
E_ablation,graph_real,graphnet,,real,6,0.5505898196882837,0.8893981235027947,0.5040816326530612
E_ablation,graph_real,graphnet,,real,7,0.5501933334891291,0.8841371107266435,0.5299319727891156
E_ablation,graph_real,graphnet,,real,8,0.5306966958203728,0.8930205283470856,0.4807823129251701
E_ablation,graph_real,graphnet,,real,9,0.54032434219948,0.890695701357466,0.5058673469387754
E_ablation,graph_shuffled,graphnet,,shuffled,0,0.47457856607287724,0.8423318139472985,0.42602040816326525
E_ablation,graph_shuffled,graphnet,,shuffled,1,0.4689680358695265,0.8383309488953952,0.4501700680272109
E_ablation,graph_shuffled,graphnet,,shuffled,2,0.47455583525259615,0.8510114453021027,0.46113945578231297
E_ablation,graph_shuffled,graphnet,,shuffled,3,0.46133973587220667,0.8362598150119775,0.4198129251700681
E_ablation,graph_shuffled,graphnet,,shuffled,4,0.4879875290971841,0.8424274687250466,0.5079081632653061
E_ablation,graph_shuffled,graphnet,,shuffled,5,0.4615944183747044,0.845055895661432,0.45340136054421765
E_ablation,graph_shuffled,graphnet,,shuffled,6,0.467544521291353,0.842094756454618,0.42278911564625854
E_ablation,graph_shuffled,graphnet,,shuffled,7,0.44644464636347947,0.835028779611392,0.4599489795918367
E_ablation,graph_shuffled,graphnet,,shuffled,8,0.4768773375877847,0.8375948229970721,0.44600340136054417
E_ablation,graph_shuffled,graphnet,,shuffled,9,0.45363945187780397,0.8278380356667554,0.4427721088435374
E_ablation,graph_identity,graphnet,,identity,0,0.46809075298509295,0.8294392134681928,0.46683673469387754
E_ablation,graph_identity,graphnet,,identity,1,0.4323694029655426,0.8366341163162098,0.4215986394557823
E_ablation,graph_identity,graphnet,,identity,2,0.46894300178100357,0.8385097817407506,0.4525510204081633
E_ablation,graph_identity,graphnet,,identity,3,0.47068044666048037,0.8338559688581315,0.4364795918367346
E_ablation,graph_identity,graphnet,,identity,4,0.46228854721445584,0.8324710540324727,0.3924319727891156
E_ablation,graph_identity,graphnet,,identity,5,0.47083108737794754,0.8356359795049241,0.4418367346938776
E_ablation,graph_identity,graphnet,,identity,6,0.42980201233099463,0.8367755190311419,0.41556122448979593
E_ablation,graph_identity,graphnet,,identity,7,0.48296621581907395,0.840705682725579,0.44277210884353746
