subject_id,k,disagreement,one_minus_jaccard,spearman,model_dice,sim_dice,sim_confidence,B_available,site,hemisphere,A_missing_frac,mean_edge_weight,graph_density,model_pred_spread,dice_gap
sub-075,6,0.3847318339100346,1.0,-0.25812711913196884,0.5,0.0,0.3495,1,site-1,L,0.08333333333333333,7.9078034607160514,0.2690311418685121,0.13346869507199127,0.5
sub-005,5,0.34083044982698957,1.0,0.004867434025489479,0.4,0.4,0.2948,0,site-1,R,0.07598039215686274,7.724679876501758,0.26513840830449825,0.10992946590825031,0.0
sub-137,6,0.33866782006920415,0.9090909090909091,-0.016646304518340142,0.5,0.0,0.3178,0,site-0,R,0.07598039215686274,7.861825048634617,0.26773356401384085,0.09411782868036356,0.5
sub-017,6,0.30903979238754326,0.9090909090909091,0.08097655903451234,0.5,0.0,0.3648,1,site-3,L,0.05392156862745098,7.895944421618215,0.2681660899653979,0.09025411628295686,0.5
sub-078,6,0.2999567474048443,0.9090909090909091,0.1338161218971895,0.6666666666666666,0.16666666666666666,0.2124,1,site-0,L,0.049019607843137254,7.89511039650556,0.2673010380622837,0.13692031132844368,0.5
sub-023,4,0.2841695501730104,0.6666666666666667,0.24117265335725466,0.75,0.75,0.7928,1,site-2,R,0.058823529411764705,7.827971430363194,0.2681660899653979,0.16193311354450116,0.0
sub-029,7,0.27703287197231835,0.8333333333333334,0.3020031110866904,0.2857142857142857,0.7142857142857143,0.99,1,site-1,R,0.049019607843137254,7.869841120011856,0.27205882352941174,0.16941499806186086,-0.4285714285714286
sub-123,5,0.2729238754325259,1.0,0.25387018770001774,0.4,0.0,0.2085,1,site-1,L,0.06372549019607843,7.818301039788781,0.26600346020761245,0.137643927189149,0.4
sub-033,4,0.2690311418685122,0.8571428571428572,0.27324510639589356,0.25,0.25,0.3734,0,site-2,R,0.056372549019607844,7.90723256424407,0.2673010380622837,0.07636795113893176,0.0
sub-093,4,0.25994809688581316,1.0,0.36630933855682374,0.25,0.0,0.3279,1,site-0,L,0.056372549019607844,8.086504077000475,0.26038062283737023,0.07912345840835117,0.25
sub-121,7,0.23269896193771628,0.9230769230769231,0.5024239416727105,0.5714285714285714,0.5714285714285714,0.7189,1,site-1,R,0.056372549019607844,8.049201125819055,0.2655709342560554,0.17107844793490512,0.0
sub-136,5,0.23183391003460208,0.75,0.46904486711155613,0.6,0.6,0.8413,0,site-1,L,0.0392156862745098,7.735071954503051,0.26686851211072665,0.1475172470894138,0.0
sub-024,5,0.2301038062283737,0.5714285714285714,0.44203956599682426,0.8,0.6,0.6941,1,site-1,R,0.03431372549019608,7.946249361781828,0.2690311418685121,0.19256834156022085,0.20000000000000007
sub-102,5,0.22902249134948097,0.75,0.5204215871472058,0.6,0.6,0.9067,1,site-0,L,0.051470588235294115,7.872320594029863,0.2694636678200692,0.19269230187159084,0.0
sub-047,3,0.22275086505190314,0.8,0.5368369556322803,0.3333333333333333,0.6666666666666666,0.819,0,site-0,R,0.04656862745098039,7.894050354122922,0.26686851211072665,0.10911680143048297,-0.3333333333333333
sub-037,3,0.222318339100346,0.8,0.5643776004886055,0.3333333333333333,1.0,0.8732,1,site-3,L,0.061274509803921566,7.978135835474882,0.2698961937716263,0.1757918109456028,-0.6666666666666667
sub-012,5,0.22145328719723184,0.8888888888888888,0.48229265082788225,0.4,0.8,0.8258,0,site-3,L,0.07107843137254902,7.8859311711403635,0.2681660899653979,0.10701011016689745,-0.4
sub-085,3,0.22015570934256057,0.5,0.5400833373360895,0.6666666666666666,1.0,0.8833,0,site-2,R,0.07107843137254902,7.8795280851978315,0.2673010380622837,0.1696568917402209,-0.33333333333333337
sub-059,3,0.21907439446366778,0.5,0.49907348095617193,0.6666666666666666,0.6666666666666666,0.7639,1,site-3,L,0.061274509803921566,7.970658617291024,0.26600346020761245,0.15556180987039392,0.0
sub-120,4,0.21150519031141868,0.4,0.5438546284480243,0.75,0.75,0.6823,1,site-2,L,0.058823529411764705,7.910660335374257,0.27249134948096887,0.22499351339200138,0.0
sub-045,5,0.20415224913494812,0.5714285714285714,0.5869048641797214,0.6,0.8,0.8415,1,site-0,L,0.058823529411764705,7.754205024164614,0.26513840830449825,0.1753200576729042,-0.20000000000000007
sub-054,5,0.1991782006920415,0.5714285714285714,0.6267654487876666,0.8,0.6,0.7316,1,site-0,R,0.05392156862745098,7.853362084223219,0.2616782006920415,0.23884583711721932,0.20000000000000007
sub-103,4,0.19204152249134948,1.0,0.6179341960030926,0.25,0.75,0.7363,1,site-2,L,0.06862745098039216,7.709496860128751,0.25821799307958476,0.11161487373421586,-0.5
sub-030,5,0.18685121107266434,0.75,0.6562070549902637,0.4,0.8,0.9016,1,site-1,L,0.05392156862745098,7.6433816976809155,0.26773356401384085,0.15789994882589117,-0.4
sub-062,3,0.18339100346020767,0.5,0.6572562972536439,0.6666666666666666,0.6666666666666666,0.8568,1,site-0,R,0.04411764705882353,7.90222792560681,0.27076124567474047,0.05704778455779026,0.0
sub-049,6,0.18252595155709342,0.5,0.6635746800954918,0.6666666666666666,0.6666666666666666,0.7971,0,site-3,L,0.058823529411764705,7.926529166737541,0.263840830449827,0.15666307842128063,0.0
sub-109,7,0.18122837370242215,0.7272727272727273,0.6962148574341305,0.7142857142857143,0.7142857142857143,0.9084,1,site-3,R,0.03431372549019608,7.983428904466797,0.2694636678200692,0.23913087766741606,0.0
sub-074,5,0.16176470588235298,0.33333333333333337,0.6983475803394632,0.8,1.0,0.7233,1,site-3,R,0.07598039215686274,7.869008470744621,0.26600346020761245,0.20328625380508145,-0.19999999999999996
